"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-08",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-09",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-10",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-11",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-12",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-13",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-14",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-15",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-16",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-17",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-18",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-19",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-20",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-21",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-22",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-23",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-24",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-25",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-26",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-27",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-28",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-29",,,,
